note,startFrame,duration
44,256,1
44,264,1
44,304,1
44,312,1
44,316,1
44,368,1
44,376,1
44,384,1
44,392,1
84,449,1
84,453,1
84,457,1
84,497,1
84,501,1
84,505,1
84,513,1
84,517,1
84,521,1
79,549,1
75,555,1
84,561,1
84,565,1
84,569,1
84,577,1
84,581,1
84,585,1
36,942,1
34,944,1
32,946,1
36,950,1
34,952,1
32,1029,1
56,1029,1
63,1029,1
60,1029,1
44,1029,1
34,1031,1
58,1031,1
65,1031,1
62,1031,1
46,1031,1
31,1033,1
55,1033,1
62,1033,1
58,1033,1
43,1033,1
32,1035,1
56,1035,1
63,1035,1
60,1035,1
44,1035,1
65,1039,1
46,1039,1
34,1039,1
67,1041,1
62,1041,1
58,1041,1
31,1041,1
43,1041,1
43,1043,1
48,1045,1
36,1045,1
34,1047,1
46,1047,1
32,1049,1
44,1049,1
48,1053,1
36,1053,1
34,1055,1
46,1055,1
32,1057,1
44,1057,1
36,1061,2
48,1061,2
31,1063,1
43,1063,1
34,1065,1
46,1065,1
36,1069,2
48,1069,2
31,1071,1
43,1071,1
34,1073,1
46,1073,1
32,1077,1
56,1077,1
63,1077,1
60,1077,1
44,1077,1
34,1079,1
58,1079,1
65,1079,1
62,1079,1
46,1079,1
31,1081,1
55,1081,1
62,1081,1
58,1081,1
43,1081,1
32,1083,1
56,1083,1
63,1083,1
60,1083,1
44,1083,1
65,1087,1
46,1087,1
34,1087,1
67,1089,1
62,1089,1
58,1089,1
31,1089,1
43,1089,1
43,1091,1
48,1093,1
36,1093,1
34,1095,1
46,1095,1
32,1097,1
44,1097,1
48,1101,1
36,1101,1
34,1103,1
46,1103,1
32,1105,1
44,1105,1
32,1109,1
44,1109,1
34,1111,1
46,1111,1
48,1113,1
36,1113,1
34,1115,1
46,1115,1
32,1117,1
44,1117,1
32,1119,1
44,1119,1
34,1121,1
46,1121,1
34,1123,1
46,1123,1
48,1141,1
36,1141,1
34,1143,1
46,1143,1
32,1145,1
44,1145,1
48,1149,1
36,1149,1
34,1151,1
46,1151,1
32,1153,1
44,1153,1
48,1157,1
36,1157,1
34,1159,1
46,1159,1
32,1161,1
44,1161,1
48,1165,1
36,1165,1
34,1167,1
46,1167,1
32,1169,1
44,1169,1
48,1173,1
36,1173,1
34,1175,1
46,1175,1
32,1177,1
44,1177,1
48,1181,1
36,1181,1
34,1183,1
46,1183,1
32,1185,1
44,1185,1
63,1916,1
60,1916,1
60,1920,1
63,1924,1
60,1924,1